episode,steps,total_reward,final_reward,is_success,is_failure,failure_reason,terminated,truncated,reset_x,reset_y,reset_z,reset_vx,reset_vy,reset_vz,reset_distance_to_target,reset_speed,final_x,final_y,final_z,final_vx,final_vy,final_vz,final_distance_to_target,final_speed,min_distance_to_target,max_stable_steps
1,50,389.5217014958573,301.628012347949,True,False,,True,False,-0.01914011687040329,-0.015547490678727627,1.975541353225708,1.2176274140074383e-06,9.88737156149e-07,0.1533130258321762,0.03473174199461937,0.1533130258321762,-0.005289288237690926,0.07192540913820267,1.9386550188064575,0.0021503998432308435,0.021069929003715515,-0.023356588557362556,0.09468076378107071,0.03152929246425629,0.01565866731107235,50
2,50,389.52441677902823,301.6273750606342,True,False,,True,False,-0.018436424434185028,-0.015046751126646996,1.9755233526229858,1.1206965382370981e-06,9.154585995929665e-07,0.1533130705356598,0.03413814306259155,0.1533130705356598,-0.00449033360928297,0.07238375395536423,1.9388031959533691,0.0021611014381051064,0.021083369851112366,-0.023307999595999718,0.09489267319440842,0.031503040343523026,0.01519746519625187,50
3,50,389.51565270183346,301.62696720882667,True,False,,True,False,-0.018434511497616768,-0.015045196749269962,1.9753308296203613,1.258578436136304e-06,1.0275617796651204e-06,0.14423424005508423,0.03427473083138466,0.14423424005508423,-0.004606700502336025,0.0725703239440918,1.9387863874435425,0.002155470894649625,0.0210877675563097,-0.02332470379769802,0.09505145996809006,0.031517960131168365,0.01527281291782856,50
4,50,389.5365021672536,301.6399178450694,True,False,,True,False,-0.018436037003993988,-0.015046436339616776,1.9755135774612427,1.1419217571528861e-06,9.327183079221868e-07,0.1533130705356598,0.0341448038816452,0.1533130705356598,-0.004526283126324415,0.07244221866130829,1.9388002157211304,0.002140429336577654,0.02110368013381958,-0.013508574105799198,0.0949409082531929,0.02514812722802162,0.015215318650007248,50
5,50,389.517728065043,301.62964992560444,True,False,,True,False,-0.01913783699274063,-0.015545638278126717,1.9763561487197876,1.3225600241639768e-06,1.0740026255007251e-06,0.1533130705356598,0.03416072949767113,0.1533130705356598,-0.005204022396355867,0.07191852480173111,1.9395201206207275,0.002127919578924775,0.021104933694005013,-0.023362206295132637,0.09411255270242691,0.031555332243442535,0.01577044278383255,50
6,50,389.49830725212814,301.6381775702233,True,False,,True,False,-0.01843414455652237,-0.015044898726046085,1.974600076675415,1.2811690339731285e-06,1.0459311852173414e-06,0.143513023853302,0.03480406105518341,0.143513023853302,-0.004602902103215456,0.07244648784399033,1.937891960144043,0.0021334150806069374,0.021098414435982704,-0.013483230955898762,0.09553579986095428,0.02512950636446476,0.014997556805610657,50
7,50,389.48214801123396,301.63811043364694,True,False,,True,False,-0.018434520810842514,-0.01504520419985056,1.9744572639465332,1.260115595869138e-06,1.0288150633641635e-06,0.143513023853302,0.034908752888441086,0.143513023853302,-0.004616420716047287,0.07250554114580154,1.9378700256347656,0.002139659132808447,0.021091703325510025,-0.01349757332354784,0.09559549391269684,0.025132102891802788,0.01500830426812172,50
8,50,389.5401881892627,301.62826551273463,True,False,,True,False,-0.01914011687040329,-0.015547490678727627,1.975541353225708,1.2287713389014243e-06,9.977931085813907e-07,0.143513023853302,0.03473174199461937,0.143513023853302,-0.005240264348685741,0.07183007150888443,1.9386601448059082,0.0021583749912679195,0.021061977371573448,-0.02337569370865822,0.0946023091673851,0.03153868392109871,0.01563672162592411,50
9,50,389.4681421137488,301.6364913848229,True,False,,True,False,-0.01843566633760929,-0.0150461345911026,1.9734768867492676,1.2192841722935555e-06,9.956198709915043e-07,0.14351297914981842,0.03563334792852402,0.14351297914981842,-0.0046528903767466545,0.07241673767566681,1.936995267868042,0.0021063238382339478,0.02111317589879036,-0.013464214280247688,0.09610114246606827,0.025129422545433044,0.014814390800893307,50
10,50,389.54272081722155,301.62988378552836,True,False,,True,False,-0.01914011500775814,-0.015547488816082478,1.9764076471328735,1.2272520280021126e-06,9.965590379579226e-07,0.14423424005508423,0.03412722423672676,0.14423424005508423,-0.005242214072495699,0.0719083920121193,1.9396185874938965,0.002148228930309415,0.021085282787680626,-0.023364786058664322,0.09404367953538895,0.031545478850603104,0.01583649031817913,50
